listing_id,date,reviewer_name,comments,sentiment
3176,2009-06-20T00:00:00Z,Milan,"excellent stay, i would highly recommend it. a nice flat in a very nice area. Britta provided clear instructions in securing the keys, etc. Thanks again.",positive
3176,2010-11-07T00:00:00Z,George,"Brittas apartment in Berlin is in a great area.  There are numerous fantastic Restaurants and Bars to suit every taste, easy access to supermarkets and public transportation. The apartment is also surprisingly large.  I would surely stay there again.",positive
3176,2010-11-24T00:00:00Z,Patricia,"Fantastic, large place in good location. Only a short tram ride to Alexanderplatz US Bahn, with connections across Berlin. Britta was quick to reply to all messages and gave very clear instructions regarding directions, key pick up and things to know about the place. Try Gargerin cafe around the corner for lovely and cheap continental breakfast. I definitely recommend this apartment",positive
3176,2010-12-21T00:00:00Z,Benedetta,Lappartamento di Britta è molto largo carino confortabile è in un quartiere molto tranquillo e comodo perchè ci sono tanti supermercati e bar dove poter mangiare. Siamo stati benissimo spero di ripetere la bellissima esperienza ... magari in estatebrciao Benedetta,neutral
3176,2011-01-04T00:00:00Z,Aude,"We went in Berlin for the new year eve. The appartment of Britta was really amazing, very chic, cool and in a good district brYou should go there ",positive
3176,2011-01-12T00:00:00Z,David + Tiila,"Location, location, location Brittas place was just what we needed when we visited Berlin. It is in a great hip area with tons of great independent designer boutiques, lovely restaurants and art galleries. When we arrived there was even a farmers market just steps away from her door. She gave great directions to get to her place and her business partner was happily waiting there when we arrived. He gave us great suggestions on what to do in the city and sat down with us for about an hour explaining great walks and great places to see in Berlin. Her place was clean, tidy and everything that we needed to stay there for the three nights. If we ever get a chance to go to Berlin again, we would definitely stay here again",positive
3176,2011-01-17T00:00:00Z,Andy,"We were there to find out what life is like in the city so staying in someones home was great and meant every minute added to our experience.  It couldnt have been more different than a touristy hotel.  Having Brittas books and pictures etc around us told us about contemporary life in prenslauer berg.  brThe apartment is secure, comfortable and warm with lots of nice pieces of furniture and pictures. The location is ideal for shops, restaurants and interesting wandering.  Also very easy to get into town.  In fact we walked around a lot of Berlin from the door.  ",positive
3176,2011-02-28T00:00:00Z,Björn,"Recommended Nice, informative and easy to deal with.  Beautiful flat in great location. ",positive
3176,2011-03-07T00:00:00Z,Emmanuel,Brittas flat is very nice and in a wonderful area of Berlin.brOrganisation have been precise and easy with her.brbrNext time Ill be in Berlin Id love to go back to her apartment.br,positive
3176,2011-03-22T00:00:00Z,Aurélie,"Brittas flat was perfect for our week end in Berlin. it was nice, located in a nice area (with shopsmarketrestaurantbars) and ideal to visit Berlin. I recommend it",positive
3176,2011-03-30T00:00:00Z,Chafic,"I really enjoyed staying at this flat. It was in a great location, very charming and spacious apartment. The host arranged to have everything ready and we had no issues. Id definitely stay there again. Thanks a lot for making our trip to Berlin enjoyable",positive
3176,2011-04-18T00:00:00Z,Merel,"I had a great weekend in Berlin with 3 friends and the fabulous flat of Britta had a big role in that. The location is great, nearby nice restaurants and pubs, nearby a bike rent shop and nearby the public transport. No complaints about the appartment, I would recommend it to anyone. And no complaints about the host too, she is very flexibel. I will book Brittas flat again if I go back to Berlin",positive
3176,2011-05-10T00:00:00Z,Judy,"We really enjoyed staying at brittas appartement. It was clean  and cosy It is located in a really nice neighbourhood When we come back to berlin we would definatly stay at brittas  appartement, which already feels like home  ",positive
3176,2011-06-13T00:00:00Z,Jim,"Brittas flat is in a great location in a really lovely part of Berlin, close to transport links taking you into the centre in minutes. Pleny of cafes and restaurants on the door step and a great farmers market. All communication with Britta was great. We hope to to return ",positive
3176,2011-06-18T00:00:00Z,Elizabeth,Lovely apartment in a great location. My only complaint would be that the building is very noisyevery step up and down the stairs is quite audible. Other than that a pleasant stay. ,positive
